Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP,Player-additional
85,Brook Lopez,C,35,MIL,12,329,14.0,.551,.538,.125,5.3,13.2,9.4,5.4,1.3,9.1,9.9,15.9,,0.1,0.4,0.5,.076,,-0.8,1.2,0.5,0.2,lopezbr01
86,Marcus Sasser,PG,23,DET,13,254,14.8,.584,.500,.071,0.9,12.9,6.9,20.2,1.9,0.3,8.2,18.0,,0.4,0.2,0.6,.118,,0.2,0.3,0.5,0.2,sassema01
87,Max Strus,SF,27,CLE,12,425,13.3,.570,.644,.116,2.1,15.3,8.9,14.9,1.4,1.4,10.0,17.4,,0.4,0.5,0.9,.100,,0.2,0.3,0.5,0.3,strusma01
88,Chris Paul,PG,38,GSW,13,361,14.1,.477,.393,.171,0.8,13.8,7.0,35.5,2.7,0.2,11.9,16.3,,0.4,0.4,0.9,.113,,-0.9,1.3,0.4,0.2,paulch01
89,Nickeil Alexander-Walker,SG,25,MIN,11,219,8.9,.494,.623,.113,0.5,9.0,5.0,15.6,2.0,3.6,15.2,13.0,,-0.1,0.4,0.4,.080,,-2.6,2.8,0.2,0.1,alexani01
90,Saddiq Bey,SF,24,ATL,12,335,14.5,.622,.505,.193,8.0,13.6,10.8,5.8,1.8,0.8,13.2,16.8,,0.5,0.2,0.7,.095,,1.3,-1.1,0.2,0.2,beysa01
91,Rudy Gobert,C,31,MIN,11,356,16.5,.547,.000,.698,15.2,26.2,21.0,5.7,1.1,6.2,14.5,16.0,,0.3,0.9,1.2,.165,,-1.5,1.7,0.2,0.2,goberru01
92,Michael Porter Jr.,SF,25,DEN,12,363,17.2,.579,.537,.085,7.6,21.5,14.9,6.9,0.7,2.3,6.1,21.7,,0.5,0.5,1.1,.141,,1.6,-1.4,0.2,0.2,portemi01
93,Mikal Bridges,SF,27,BRK,12,412,16.8,.555,.392,.256,4.2,15.1,9.7,16.9,1.6,1.2,11.9,26.0,,0.4,0.4,0.8,.090,,0.6,-0.5,0.1,0.2,bridgmi01
94,Aaron Nesmith,SF,24,IND,11,263,14.7,.652,.581,.221,4.3,12.1,8.2,6.0,1.6,1.9,6.0,15.7,,0.5,0.1,0.6,.113,,0.8,-0.6,0.1,0.1,nesmiaa01
95,Julius Randle,PF,29,NYK,12,414,14.6,.470,.357,.352,6.6,26.3,16.0,24.6,1.5,0.5,13.1,28.7,,-0.1,0.7,0.6,.065,,-0.6,0.7,0.1,0.2,randlju01
96,Tim Hardaway Jr.,SF,31,DAL,12,333,17.0,.608,.659,.188,1.3,14.0,7.7,8.8,0.4,0.0,6.1,24.7,,0.6,0.1,0.8,.109,,3.3,-3.3,0.0,0.2,hardati02
97,Pascal Siakam,PF,29,TOR,12,409,15.2,.548,.273,.267,3.8,19.3,11.3,22.9,1.1,0.4,14.0,25.3,,0.1,0.5,0.6,.073,,-0.3,0.3,0.0,0.2,siakapa01
